timestamp,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe
20250211_095412,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,PPPPBP,215.0,PPPPBPBPBPTPBBBTTTBTPBBBPPBTPBTBPBTPBBBBBBPPPBTBPBBPPBPP
20250211_102431,PPP,"too many early ties (<12 bets, 3 ties)",B,BBPBBB,223.5,TBBPBBBBBPPBPBTBBPBTBBT
20250211_103635,PPP,quick profit (200+ in 5 min),B,BPBBBP,216.5,BPBTBBPBBBBTPBB
20250211_105142,BBB,good profit (250+ in 10 min),,PPPBPB,270,PPPBPBBPBPPBBPBPPPPP
20250211_111541,PPP,excellent profit (300+),,BBBPBB,327.0,BBBPBBTBBBBPBBPBTPPBBPPBBPPBBPPBBPPBBPBB
20250211_114547,PPP,Shoe finished,,BBBBBP,-1094.5,BBBBBPPPBTPPPBBBBBPBBPBBTBPBTTTPBPPPBPBPPPPBTPBBPTPPPPPBBBBPBBPBP
20250211_121900,BBB,profitable with too many bad streaks (4 streaks),,PPPPBP,47.5,PPPPBPBBPPPBTPBBBBBBPBPPBBBPPPBBPBBBBPBBBBBPB
20250211_133412,BBB,profitable with too many bad streaks (4 streaks),P,BPPPBP,18.5,BPPPBPPBBPBPPPBTPBPPBBTBPBPPPBBTPTBPPBTBBBPTPBBBBBPPBBTBB
20250211_134901,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PBBBPB,206.0,PBBBPBPTPBPPPPBBPBBBPBBTTBBPBPPBPBPP
20250211_141512,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,PBBPPP,171.5,PBBPPPPPPBBBPBBBPBPPPTPBPBPTBBPBPBBPPBPPPTPBPTPPBPBBTTBBBB
20250211_143652,BBB,excellent profit (300+),P,PBBPPP,376.5,PBBPPPPPPBPBBPPBBPBPPBPPBPPBBPBBPBPPBPBBTBBBPPBPP
20250211_144806,BBB,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",,PPPBPP,194.0,PPPBPPBPPBPTPBBBBBBBBPBBB
20250211_153358,PPP,quick profit (200+ in 5 min),,PBBBBB,223.0,PBBBBBPBBBPBPBTBTBBB
20250211_154059,BBB,good profit (250+ in 10 min),,BBPPPP,280.0,BBPPPPBBBPBPPPTPBPPBPTPPP
20250211_160003,BBB,excellent profit (300+),,BBPPPP,310.0,BBPPPPBPBBPBPBPBPBBBBBPBBPBTBPBPPBPBPPPPBPPBPP
20250211_162053,PPP,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",,PBBBBB,161.5,PBBBTBBBBBTBPPPPPPBPPPTBTPPPB
20250211_164357,PPP,excellent profit (300+),,PBBBBP,314.5,TPBBBBPBBBPBBBPBPPPPBBPPPBBPBPPBPBPBPTBBBBPBPBB
20250211_175224,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,BPPPPP,190.5,BPPPPPPPTTBBBBPBBBTBBPTBPPBPTBPBBPPBPPBBTBBP
20250211_202615,PPP,"decent profit with many bad streaks (150+, 3 streaks)",B,BPBBBB,215.0,BPBBBBTBBBPPBBPBPPPBBTPTPTBBBTPBBBPBPBPPPPBBBTPPPBBPPBPBBB
20250211_203914,PPP,"decent profit with many bad streaks (150+, 3 streaks)",,PPBBBB,197.0,PPBBBBPBPBBPPPTBPBPBPBTPPPPBPBPPP
20250211_205042,BBB,quick profit (200+ in 5 min),P,PPPPPB,230.0,PPPPTPBPPTBPPPPP
20250211_205904,BBB,quick profit (200+ in 5 min),P,PPPBBP,230.0,PPPBBPBBPBPTPPPPP
20250211_211504,BBB,excellent profit (300+),P,BPBPPP,330.0,BTPBPPPBPBPBBPBBPTBPPPBPBTBPBBPPPBPBTPPP
20250212_192837,BBB,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",P,PPPPBP,165.0,PPPPBPBBBBBBBBBBBBBBBPPTBBBPPPPBBPPTPP
20250212_195033,PPP,excellent profit (300+),B,BBPBBB,315.5,BBPBBBPPPBPBTBBPBBBPBBTBPPBPPBBPPBBPBBPBPPBBPPPPPPTP
20250212_195141,BBB,"only 1 cube value left, lower than 10 or higher than 100 detected",,PPPBPB,-50,PPPBPBPBB
20250212_195850,BBB,good profit (250+ in 10 min),,PPPBPB,255.0,PPPBPBPBBPBBBBPBPPTPPBPPP
20250212_201556,PPP,excellent profit (300+),,BBPBBB,330.5,BBPBBBTBBBPPBBPBPTBTBBPPPBPPPPBPBP
20250212_203801,PPP,excellent profit (300+),,BBBBPP,331.0,BBBBPPBPPPBPPBPBBBPBTPBBBBPPBTPBPPTPPPPBBTBBBPBBTTB
20250212_205027,BBB,excellent profit (300+),P,PPPBBP,340.0,PPPBBPBPBTPBPBPBBTPBPPPPPBBPTTBPPPP
20250214_193310,BBB,good profit (250+ in 10 min),,PBBPPP,260.0,PBBTPPPPBPTBBPPPPPPBPP
20250214_193715,PPP,quick profit (200+ in 5 min),,BBBBBP,209.0,BBBTBBPTBBBBBTBBBBB
20250214_195225,PPP,excellent profit (300+),,BBBPBB,323.5,BBBPBBBBPTPPBBBBPTBPBBBPPTTPPBPBPBBPTBB
20250214_195553,BBB,quick profit (200+ in 5 min),,PPPPBP,220,PPPPTBPPBBPTPPPPP
20250214_201235,BBB,profitable with too many bad streaks (4 streaks),,PPPPBP,67.5,TPPPPBPBBBPPPPBPPPBBBTBBBPTBBBPBBBTPBPPPBPP
20250214_202149,BBB,good profit (250+ in 10 min),,PBPPPP,267.5,PBPPPPBBTTBPBPPBPBBPPBPPPBBPTPP
20250214_202555,BBB,"too many early ties (<6 bets, 2 ties)",,BBPPPP,60.0,TBBPPPPBBPTPBT
20250214_205531,PPP,Shoe finished,,PBBBPB,-489.0,PBBBPBPPPBBPBBBPPBTTBPTPPBPBPPPBBBPPPPPBBBTBPPPBTPTBTBBBBTBBBBTBBPBB
20250214_210224,BBB,"too many early ties (<6 bets, 2 ties)",P,BPPPPP,110.0,BPPPPPBBTPBPPT
20250214_211148,BBB,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",P,PBPPPB,167.5,PBPPPBBBBTBBPBPBBBBTBBPPB
20250214_214521,BBB,Shoe finished,,BPPPPB,-370.5,BPPPPBPPPPBBBPBPPBPPPPBBBPBPPBPPBPPBBBPBBPBBBTPPPPBBBPBTTTPBPTPPTBPTPP
20250214_220012,BBB,good profit (250+ in 10 min),P,PBPPPP,270,PBPPPPPBPPPPPBBPBPBPPBPP
20250214_220555,BBB,"too many early ties (<12 bets, 3 ties)",,BPPPPB,20.0,BPPPPBPBPPBPTBPBTTP
20250214_221001,PPP,quick profit (200+ in 5 min),B,BBBBPB,216.5,BBBBPBPBBPBBBB
20250214_221923,PPP,good profit (250+ in 10 min),,PBBBBP,261.0,PBBBBPPBTPBPBBTBBBB
20250215_222545,PPP,Shoe finished,,BBBPBP,-422.0,BBBPBTPPPBBPBBPBBBPPPBPBBPBBBTBBPPPBBBTPBBTPPBPTTPPPPBBBPBPBPBBPPBPBBP
20250215_225513,PPP,"only 1 cube value left, lower than 10 or higher than 100 detected",,BBBPPB,390.5,BBTBPPBBPBBBPBBPBPBBBPTPBBBBPPBBPTPBBPPBBB
20250216_134602,BBB,Shoe finished,,PPPBPP,-340.0,PPPBTPPPBBBBBBBPPPBPPBPBBPPBPTBBPBBPPPPPPBTBBBBBBPBPTPBBPBPBPPTBTPP
20250216_140426,PPP,"contradicting bias (PPP mode, 60.7% player wins)",B,PBPBBB,53.5,PBPTBBBBBPBBPTPPPPBPPPPBBPPPBBPPPPBTB
20250216_152811,BBB,excellent profit (300+),P,PPPPBP,330.0,PPPPBPBPBBPPBPPBBBPPPPTPPPPBBPBPBPPP
20250216_165246,BBB,good profit (250+ in 10 min),,PPPBBP,294.0,PPPBBPBPPPPBPPBBBBTTPBBPPTPTBPP
20250216_172016,BBB,large cube values with few cubes,P,PPBPPP,-50,PPBPPPPBB
20250216_183337,PPP,"decent profit with many bad streaks (150+, 3 streaks)",,PBBBBB,159.5,PBBBBBBBBPBBBBPBBTPPPBPPPBBBBPBPPBPPPPBPBBPPBPBPTPBPBBBB
20250216_184733,BBB,excellent profit (300+),P,BPPPBP,316.5,BTPPPBPBBPPPPBPTPBBBBPPBPBPBPBBPBBPPPPPP
20250216_185125,BBB,"too many early ties (<6 bets, 2 ties)",P,PPBPPP,10.0,PPBPPPPBBPPBTPBTBP
20250216_191435,BBB,Shoe finished,P,BPPPPB,-242.0,BPPPPBPPTBPBBBBBPBBTPPBBBPPBPBBPBPBBBPPBPBTPBPBPPBBPBBPPBPBP
20250216_211619,PPP,"decent profit with many bad streaks (150+, 3 streaks)",,BBBPPB,165.0,BBBTPPBTTBPBBTPBPTPBBBPPBPPBPPPPPPPPBBTPPPBPPTBPPPBBP
20250216_214341,BBB,excellent profit (300+),P,PBPPPP,320.0,PBPTPPPPPBPPPPBBBPPPPPBBPBPBTBPPBBBPPPPPPPPPBPPP
20250216_214722,PPP,quick profit (200+ in 5 min),,BBPBBB,216.5,BBPBBBBBPBBBBPBBB
20250216_220115,BBB,good profit (250+ in 10 min),P,PBBPPP,296.5,PBBPPPPBPPTPPBBBPPPPBPBTPPPTP
20250216_221059,BBB,good profit (250+ in 10 min),,PPPBPP,260.5,PPPBPPPBBPPPBBBBBPPBPBBPBPPP
20250216_224410,PPP,"decent profit with many bad streaks (150+, 3 streaks)",,BPBPBB,188.0,BPBPBBBBBPBPBBPBBPPBPPPBTTTPPBPBPPBTPPBPPBBPPPPPPBBPBBBPTPPTPPBPBBBBBB
20250216_225423,BBB,good profit (250+ in 10 min),P,BPPPPP,260.0,BPPPPPPBBPPPBPBBPPPTPPBBPP
20250216_225812,PPP,"too many early ties (<6 bets, 2 ties)",,BPBPBB,4.5,BPBTPBBBBBPBPTBPT
20250217_102447,BBB,excellent profit (300+),P,PBBPPP,301.0,PBBPPPBBPBPBPBBBPBBPBBPBPPPTTBPPPPBPBP
